vote_average revenue
6.1 215529201
6.5 373552094
5.6 212902372
6.1 337580051
6.3 66980456
7 188441614
6.2 53181600
7.1 259207227
6.1 2360281
7.2 45967935
6.6 108782847
3.8 19682924
7.6 44349000
6.4 12007070
5.6 243400000
5.5 362637473
7.2 83719388
4 0
6.7 123494610
6.2 268157400
7.2 78874843
6.7 86165646
7.6 4439431
7.8 305151265
7.5 336472
6.1 153997819
5.8 1075178
6.3 11110975
5.9 50549107
6.8 222809600
7.2 3000000
5.4 0
5.3 0
6.6 18658381
5.7 239379423
5.9 103039258
6.2 196781193
6.8 272912430
4.7 0
6.2 39407616
7 0
6.5 500188435
5.5 169837010
6.1 15060457
5.7 154984035
7.2 163442937
7.5 66787908
8 3494070
6.2 0
6.5 20300000
6.9 52501541
5.1 117831631
7.2 35926213
6.1 133821816
 0
 
7.3 97437106
7.1 54837234
6.2 203277636
6.3 18612
5.2 0
7.2 88880821
6.6 108255770
6.8 28883511
4.6 266586800
6.3 1171559
8 857522
7.1 0
5.8 600896
6.1 0
5.7 160602194
4.4 0
6 0
5.9 151165787
6.6 1625847
5.4 17508518
5.9 0
5.3 0
6.8 645186
6.7 0
5.8 53830415
7.5 41797583
6.1 40100000
6.5 12096300
5.6 0
6.6 34077920
6 2295423
6.2 70181428
6.9 9104716
5.4 4507463
5.7 59209
6.6 3396726
5.6 255273813
3.3 0
5.6 0
5.1 71154592
6 26049082
6.4 0
6.5 28831145
5.8 68896829
6.5 6676471
5.1 100525432
6.5 0
5.4 176391
7 1822250
4.3 0
4.4 0
6.7 5284309
6.3 0
5.7 0
5.9 30800231
7.7 7523634
6.1 0
6.6 2367161
6.1 0
5.4 0
6.7 258384
5.5 0
6.8 15520023
4.8 6833445
6.3 32339326
4.2 0
6.2 100654149
6.5 41296320
6.2 2429989
6.1 0
6.3 427418
6.4 200406
5.4 0
5.6 0
5.1 0
5.2 7500000
5 56574
6.7 67347013
5.8 49002684
6.6 38307627
6.3 5483299
7 1430655
3.5 0
5 108808
3.3 0
6.3 37151
6 5380251
6.3 3485127
6.9 1124445
5.8 67800064
7.3 0
7.4 4571025
6.5 15071
7 5155325
5.7 770706
6.4 0
5.3 0
6.2 30127963
6.3 0
6.9 0
8 0
5.5 0
5.9 2146041
4.3 0
5.7 0
5.2 48390
6.2 0
7.2 0
5.7 0
5.8 0
4.4 0
5.1 17834867
5.2 0
6.3 31554855
6.2 25434291
6.3 31911598
4.7 13865435
6 0
6.8 1554000
6.5 2450846
7 13287735
6.3 0
5.7 111996
7.2 0
4.8 0
5.3 9318
6.9 54915
4.4 0
6.8 4635300
6.8 0
6.8 52424533
5.1 0
3.1 0
5.5 0
5.3 0
4.9 26501323
5.2 169976
5 0
6.2 80383113
7.3 11486
4.1 0
5.3 0
4.7 0
5.9 0
4.9 1826705
6.4 461162
5.3 0
6.3 0
3.3 0
6.6 0
4.7 0
5.8 0
5.9 1020921
5.4 0
7.2 28641776
6.1 101332962
5.1 0
5.2 0
5.9 0
3.8 0
5.8 0
6.3 0
5.9 0
6.7 0
5.4 0
7.8 0
5.9 0
7.4 0
5.6 0
5.8 0
4.4 61279452
5.6 1338365
4.8 14947
6.2 0
4.8 0
5.7 25312387
6.1 5405500
4.6 0
5.3 0
5.3 0
6.8 0
5.2 0
5.8 0
6.4 985007
4.8 88273
4.5 0
6.2 0
6.1 0
5.1 0
7.1 0
5.7 0
4.9 0
5.8 0
5.4 7171
4.7 0
6.4 2262223
6.1 0
3.6 149337
5.4 5000000
6.3 0
5.7 0
5 0
4.9 0
5.7 0
4.1 0
6 0
6.1 0
5.4 0
6.5 0
5.3 0
4.2 0
5.5 0
4.2 0
6 16337881
5.7 32251
5.6 0
7 395000
5.9 8251
6.1 121179
5.6 0
5.3 0
6.9 14618727
6.5 0
6.1 0
6.2 7176347
4.8 0
6 0
4.5 0
5.7 10429707
6.8 0
5.7 45300000
5.6 126150
5.4 0
5.2 0
5 0
6.7 0
4.9 0
3.8 0
5.4 0
5.3 0
4.9 0
6 0
6.7 3123963
6.7 0
3.8 0
5.3 0
5.6 0
3.9 0
5.1 0
3.8 0
5.6 39171130
5.4 0
5.2 0
3.9 0
4.7 0
6 0
5.3 0
6.7 3430018
7.2 0
6.5 2365467
5.3 0
4.6 0
5.1 0
7.1 0
5.8 0
5.3 0
6.6 0
4.3 0
4.7 0
7.1 0
5.8 0
6.8 0
6.1 0
5.9 13769
4 0
6.4 0
5.9 0
6 1009620
4.8 15000000
5.4 0
5.9 75143
4.6 0
5.4 0
6.4 0
5.2 0
4.7 0
3.9 0
5.6 0
5 0
6.3 0
4.4 0
6.5 0
5.8 4453524
6.2 0
5.9 0
4.4 0
6 0
6.1 29789000
6.5 0
6.4 0
5.6 0
4.1 0
5 0
7.7 0
5.5 0
5.1 0
6.3 0
4.2 2756
6.7 0
6.8 0
4.7 0
5.7 0
5 0
7.4 0
7.8 0
6.8 0
4.5 36433975
5.3 0
5.6 0
4.8 0
4.3 0
3.8 0
5.4 0
4.9 0
5.5 0
5.2 0
5.6 0
5.8 0
7.2 0
6.3 0
3.7 0
6.2 0
5.8 0
5.1 0
6.4 0
5.6 0
6.1 0
4.4 0
3 0
6.2 0
4.6 0
6 0
4.5 0
6 4013786
6.6 7205
5.6 0
2.4 0
7.1 0
6.6 0
6.2 0
4.2 0
7.1 0
5 0
7 0
7.7 0
