Aleksey Balabanov - 6.9 - 2007
Alexander Bulkley - 5.6 - 2006
Alexander Gruszynski - 4.2 - 2005
Alexander Mackendrick - 7 - 1961
Alexander Payne - 7 - 1996
Alexander Payne - 6.5 - 1999
Alexander Payne - 6.7 - 2002
Alexander Payne - 6.6 - 2004
Alexander Payne - 6.6 - 2011
Alexander Payne - 7.3 - 2013
Alexander Witt - 6.1 - 2004
Alexander Yellen - 4.8 - 2014
Alexandra LeclÃ¨re - 5.4 - 2007
Alexandre Aja - 6 - 2006
Alexandre Aja - 6 - 2008
Alexandre Aja - 5.2 - 2010
Alexandre Aja - 6.2 - 2013
Alexandre Arcady - 5.8 - 2010
Alexandre Arcady - 7.4 - 2012
Alexandre Bustillo - 5.4 - 2014
Alexandre Moors - 5.3 - 2013
Alexandre O. Philippe - 5.9 - 2010
Alexandre Rockwell - 6.4 - 1995
Alex Chandon - 5.3 - 2011
Alex Cox - 6.3 - 1984
Alex Cox - 6.6 - 1986
Alex Craig Mann - 4 - 2012
Ãlex de la Iglesia - 5.6 - 1993
Ãlex de la Iglesia - 6.5 - 2004
Ãlex de la Iglesia - 5.8 - 2008
Ãlex de la Iglesia - 6.2 - 2010
Alex De Rakoff - 5.5 - 2004
Alex De Rakoff - 5.9 - 2009
Alex Garcia Lopez - 4.5 - 2015
Alex Garland - 7.6 - 2015
Alex Gibney - 6.7 - 2005
Alex Gibney - 5.2 - 2007
Alex Gibney - 6.9 - 2008
Alex Gibney - 6.7 - 2010
Alex Gibney - 6 - 2013
Alex Gibney - 7.2 - 2013
Alex Gibney - 6.2 - 2015
Alex Gibney - 7.8 - 2015
Alex Goyette - 6.3 - 2014
Alex Gregory - 6 - 2011
Alex Holdridge - 5.5 - 2007
Alex Holmes - 6.7 - 2014
Alex Kalymnios - 6.3 - 2015
Alex Kendrick - 6.9 - 2003
Alex Kendrick - 6.8 - 2006
Alex Kendrick - 7.5 - 2008
Alex Kendrick - 6.7 - 2011
Alex Kendrick - 6.9 - 2015
Alex Kurtzman - 6.6 - 2012
Alex Merkin - 6.3 - 2009
Alex Orwell - 4.9 - 2011
Alex Pillai - 5.3 - 2015
Alex Proyas - 7.2 - 1994
Alex Proyas - 7 - 1998
Alex Proyas - 6.6 - 2004
Alex Proyas - 5.7 - 2009
Alex Ranarivelo - 5.7 - 2011
Alex Ranarivelo - 5.3 - 2014
Alex Rivera - 5.8 - 2008
Alex Ross Perry - 5.9 - 2014
Alex Ross Perry - 5.6 - 2015
Alexs Stadermann - 5.6 - 2014
Alex Turner ( II ) - 5.8 - 2004
Alex Winter - 5.3 - 1993
Alex Winter - 3.1 - 2008
Alex Winter - 4.4 - 2009
Alex Winter - 6.5 - 2013
Alex Winter - 5.3 - 2015
Alex Winter - 6.9 - 2015
Alex Zamm - 4.3 - 2003
Alex Zamm - 5.1 - 2007
Alex Zamm - 5 - 2011
Alex Zamm - 4.9 - 2012
Alex Zamm - 5.4 - 2014
Alex Zamm - 6.1 - 2014
Alex Zamm - 7.6 - 2015
Alfonso ArÃ¡u - 6.5 - 1995
Alfonso CuarÃ³n - 7.1 - 1995
Alfonso CuarÃ³n - 6.5 - 1998
Alfonso CuarÃ³n - 7.4 - 2004
Alfonso CuarÃ³n - 7.3 - 2006
Alfonso CuarÃ³n - 7.4 - 2013
